line_no,value_date,narration,ref_no,debit_paise,credit_paise,closing_balance_paise
1,2026-03-05,NEFT INWARD 8659945258yqimbl RAZORPAY SOFTWARE PRIVATE LIMI,2JCC0KA0D0,0,14366247,14866247
2,2026-03-06,NEFT INWARD 1009526630jasblf RAZORPAY SOFTWARE PRIVATE LIMI,XV9UNE6G8G,0,1862249,16728496
3,2026-03-06,MMT/IMPS/NC1ICRAQHN/Razorpay Settle/HDFC,6F6Y3DKYP8,0,2528811,19257307
4,2026-03-10,RTGS CR RAZORPAYSOFT UTR8O375OO9l2tbqh,,0,13138858,32396165
5,2026-03-11,INB/RAZORPAY SOFTWARE/NEFT/1051223431xtzdsm,ZZCO8UF87G,0,2544088,34940253
6,2026-03-12,ACH CR RAZORPAY SOFTWARE PVT LTD lO972l585Onnvw,,0,6073257,41013510
7,2026-03-13,NEFT/L8N4G9Q2Z3/RAZORPAYSOFT/HDFC0000060/76l3l34847srhj,,0,2921934,43935444
8,2026-03-16,TPT-9763647321oloivd-RAZORPAY-HDFC BANK LTD,81LGLZV5EM,0,9553194,53488638
9,2026-03-17,NEFT-7MNBAFOJEP-RAZORPAYSOFTWAREPVTLTD-2056589205JKLLJI,,0,6691740,60180378
10,2026-03-17,RTGS CR RAZORPAYSOFT UTR2056589205jkllji,DI1VOBKLDC,0,3189743,63370121
11,2026-03-19,MMT/IMPS/66D5IVX6QJ/Razorpay Settle/HDFC,66D5IVX6QJ,0,4632259,68002380
12,2026-03-20,TPT-3735322288gthaon-RAZORPAY-HDFC BANK LTD,I5Y4WI9QGO,0,7810063,75812443
13,2026-03-23,TPT-5905093074moifjr-RAZORPAY-HDFC BANK LTD,,0,9250428,85062871
14,2026-03-24,RTGS CR RAZORPAYSOFT UTR7457066185afetqi,CLQWI480W4,0,15678656,100741527
15,2026-03-25,RTGS CR RAZORPAYSOFT UTR7457066185afetqi,DPJ9OPY2DR,0,15678656,116420183
