order_id,order_ref,customer_ref,order_amount_paise,currency,created_at,order_status,refund_issued_paise
ord_43e8f19d7a38,KK-2026-00001,cust_8a05,85900,INR,2026-03-02T09:06:35+05:30,paid,0
ord_b7061e81ee9f,KK-2026-00002,cust_232a,189900,INR,2026-03-02T18:17:39+05:30,paid,0
ord_4695b37e129d,KK-2026-00003,cust_62b1,49000,INR,2026-03-02T18:50:04+05:30,paid,0
ord_ebc2b9ef6ad8,KK-2026-00004,cust_9a34,898900,INR,2026-03-02T14:18:04+05:30,paid,0
ord_e449d5e4fea1,KK-2026-00005,cust_50ac,119900,INR,2026-03-02T14:37:10+05:30,paid,0
ord_1682bd8e5137,KK-2026-00006,cust_d466,5659900,INR,2026-03-02T19:35:01+05:30,paid,0
ord_a16b7209581f,KK-2026-00007,cust_8cb4,142000,INR,2026-03-02T21:30:03+05:30,paid,0
ord_00d790ed5e03,KK-2026-00008,cust_6f40,82900,INR,2026-03-02T09:52:02+05:30,paid,0
ord_6d8df607dc0b,KK-2026-00009,cust_6991,70000,INR,2026-03-02T22:03:11+05:30,paid,0
ord_a8f9083d79c2,KK-2026-00010,cust_657a,189900,INR,2026-03-02T12:23:45+05:30,paid,0
ord_e3b65895204f,KK-2026-00011,cust_f999,159900,INR,2026-03-02T20:42:32+05:30,paid,0
ord_ecf8da90c8e7,KK-2026-00012,cust_198f,189900,INR,2026-03-02T23:52:16+05:30,paid,0
ord_9805f5784c70,KK-2026-00013,cust_be29,179900,INR,2026-03-02T12:20:31+05:30,paid,0
ord_551fcbbcdf41,KK-2026-00014,cust_5ef9,141000,INR,2026-03-02T09:09:10+05:30,paid,0
ord_0a668ae899f0,KK-2026-00015,cust_0da1,41000,INR,2026-03-02T07:46:15+05:30,paid,0
ord_de631b72db25,KK-2026-00016,cust_8710,208000,INR,2026-03-02T18:23:24+05:30,paid,0
ord_264307f6df51,KK-2026-00017,cust_ac82,89900,INR,2026-03-02T22:59:49+05:30,paid,0
ord_bd54a05c90cb,KK-2026-00018,cust_a62e,2099900,INR,2026-03-03T09:44:12+05:30,paid,0
ord_5e587d8545e2,KK-2026-00019,cust_ab76,160000,INR,2026-03-03T11:09:02+05:30,paid,0
ord_199a4ba9a00c,KK-2026-00020,cust_00e0,129900,INR,2026-03-03T13:00:50+05:30,partially_refunded,63742
ord_a9277735cb82,KK-2026-00021,cust_b97d,50900,INR,2026-03-03T19:53:39+05:30,partially_refunded,13952
ord_202850743171,KK-2026-00022,cust_9e07,73900,INR,2026-03-03T12:33:03+05:30,paid,0
ord_11b11d7ded37,KK-2026-00023,cust_b350,44900,INR,2026-03-03T19:29:49+05:30,paid,0
ord_db984524eae7,KK-2026-00024,cust_f5f5,559900,INR,2026-03-03T23:04:10+05:30,paid,0
