entity_id,type,debit_paise,credit_paise,amount_paise,fee_paise,tax_paise,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,method,card_network,card_type,international,dispute_id,description
pay_18ec773c86b481,payment,0,83974,85900,1632,294,false,true,2026-03-02T09:07:51+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_43e8f19d7a38,netbanking,,,false,,
pay_6f576038fe9171,payment,0,187883,189900,1709,308,false,true,2026-03-02T18:19:16+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_b7061e81ee9f,card,VISA,debit,false,,
pay_c28a9876601a23,payment,0,49000,49000,0,0,false,true,2026-03-02T18:50:52+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_4695b37e129d,upi,,,false,,
pay_5b41d9e672b27a,payment,0,878747,898900,17079,3074,false,true,2026-03-02T14:20:00+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_ebc2b9ef6ad8,netbanking,,,false,,
pay_e3296dc208c3b1,payment,0,119900,119900,0,0,false,true,2026-03-02T14:37:59+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_e449d5e4fea1,upi,,,false,,
pay_a70b330d3dce8f,payment,0,5599792,5659900,50939,9169,false,true,2026-03-02T19:36:36+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_1682bd8e5137,card,VISA,debit,false,,
pay_df68df270e27b4,payment,0,140492,142000,1278,230,false,true,2026-03-02T21:30:54+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_a16b7209581f,card,MASTERCARD,debit,false,,
pay_68397554faafba,payment,0,81041,82900,1575,284,false,true,2026-03-02T09:52:42+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_00d790ed5e03,netbanking,,,false,,
pay_b3d13c491cee73,payment,0,68431,70000,1330,239,false,true,2026-03-02T22:05:08+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_6d8df607dc0b,netbanking,,,false,,
pay_bbf15d4325c536,payment,0,185418,189900,3798,684,false,true,2026-03-02T12:25:33+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_a8f9083d79c2,card,MASTERCARD,credit,false,,
pay_c060256bd1618b,payment,0,156126,159900,3198,576,false,true,2026-03-02T20:43:08+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_e3b65895204f,card,MASTERCARD,credit,false,,
pay_6bbd43f4e60c4a,payment,0,189900,189900,0,0,false,true,2026-03-02T23:53:10+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_ecf8da90c8e7,upi,,,false,,
pay_4fbaf3a23c9408,payment,0,179900,179900,0,0,false,true,2026-03-02T12:21:59+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_9805f5784c70,upi,,,false,,
pay_d8aa4a4be5d660,payment,0,141000,141000,0,0,false,true,2026-03-02T09:10:02+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_551fcbbcdf41,upi,,,false,,
pay_90fa61870137a6,payment,0,40081,41000,779,140,false,true,2026-03-02T07:46:39+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_0a668ae899f0,netbanking,,,false,,
pay_e6ae57a2a97203,payment,0,208000,208000,0,0,false,true,2026-03-02T18:25:12+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_de631b72db25,upi,,,false,,
pay_2af134bb10d29f,payment,0,89900,89900,0,0,false,true,2026-03-02T23:01:13+05:30,2026-03-04T10:00:00+05:30,setl_5570af976045db,8659945258yqimbl,ord_264307f6df51,upi,,,false,,
pay_41a6764343bb74,payment,0,2099900,2099900,0,0,false,true,2026-03-03T09:44:34+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_bd54a05c90cb,upi,,,false,,
pay_8f0ea5166684e8,payment,0,160000,160000,0,0,false,true,2026-03-03T11:10:39+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_5e587d8545e2,upi,,,false,,
pay_a497976181466c,payment,0,129900,129900,0,0,false,true,2026-03-03T13:01:47+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_199a4ba9a00c,upi,,,false,,
pay_38b3c8cbfed5f5,payment,0,50900,50900,0,0,false,true,2026-03-03T19:54:26+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_a9277735cb82,upi,,,false,,
pay_0ec7e9e1fe6a3f,payment,0,72156,73900,1478,266,false,true,2026-03-03T12:33:56+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_202850743171,card,VISA,credit,false,,
pay_d42a94eb5323e5,payment,0,44900,44900,0,0,false,true,2026-03-03T19:30:14+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_11b11d7ded37,upi,,,false,,
pay_9588925794d8f9,payment,0,559900,559900,0,0,false,true,2026-03-03T23:05:48+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_db984524eae7,upi,,,false,,
pay_9858ce968b5b71,payment,0,565000,565000,0,0,false,true,2026-03-03T21:11:07+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_a2be41e89b4a,upi,,,false,,
pay_18e8660d07eee1,payment,0,188575,192900,3665,660,false,true,2026-03-03T12:28:49+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_48c47a41c952,netbanking,,,false,,
pay_384510122ba728,payment,0,575819,582000,5238,943,false,true,2026-03-03T09:03:44+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_263d580de3a7,card,MASTERCARD,debit,false,,
pay_6096b55b844945,payment,0,215900,215900,0,0,false,true,2026-03-03T07:45:40+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_8e168722f00f,upi,,,false,,
pay_b70d63f204c4f3,payment,0,245366,248000,2232,402,false,true,2026-03-03T15:31:36+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_f3ce676d5ff3,card,AMEX,debit,false,,
pay_9b1ea0e8656612,payment,0,641397,656900,13138,2365,false,true,2026-03-03T15:02:12+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_cfcfb0eacd42,card,MASTERCARD,credit,false,,
pay_cdbc0d1d29ed39,payment,0,121900,121900,0,0,false,true,2026-03-03T12:31:17+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_56dc9890a86f,upi,,,false,,
pay_335708c68aec3d,payment,0,49370,49900,449,81,false,true,2026-03-03T13:17:59+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_7df720ab5cdf,card,AMEX,debit,false,,
pay_af55e83843315e,payment,0,39006,39900,758,136,false,true,2026-03-03T19:37:00+05:30,2026-03-05T10:00:00+05:30,setl_446441e559f1b9,5992651732svacml,ord_e1537b284bc5,netbanking,,,false,,
pay_e52afe8058556e,payment,0,74206,76000,1520,274,false,true,2026-03-04T13:17:12+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_316603a3a947,card,MASTERCARD,credit,false,,
pay_202d04f3b6fe26,payment,0,65900,65900,0,0,false,true,2026-03-04T15:53:20+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_fb898fb56794,upi,,,false,,
pay_68d25be278a81f,payment,0,49900,49900,0,0,false,true,2026-03-04T22:08:00+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_35c9513b0c56,upi,,,false,,
pay_bbfd364a8a1952,payment,0,694000,694000,0,0,false,true,2026-03-04T18:01:02+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_29bd6dce0afa,upi,,,false,,
pay_541fec3815500c,payment,0,634562,649900,12998,2340,false,true,2026-03-04T16:43:38+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_4b7416fd1d9a,card,RUPAY,credit,false,,
pay_670002ec966357,payment,0,218000,218000,0,0,false,true,2026-03-04T08:50:59+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_b45110baafa5,upi,,,false,,
pay_d559df154a6362,payment,0,468000,468000,0,0,false,true,2026-03-04T18:46:59+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_505e4318863d,upi,,,false,,
pay_cd238affbb476f,payment,0,729900,729900,0,0,false,true,2026-03-04T10:11:12+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_00d73bd59c4d,upi,,,false,,
pay_5f8425ec584443,payment,0,567288,581000,11620,2092,false,true,2026-03-04T12:06:08+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_e3b05e1659a8,wallet,,,false,,
pay_f3782bd27762c1,payment,0,181000,181000,0,0,false,true,2026-03-04T23:20:13+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_412733697932,upi,,,false,,
pay_e94bfeabad644f,payment,0,111000,111000,0,0,false,true,2026-03-04T18:43:22+05:30,2026-03-06T10:00:00+05:30,setl_b02381c76b604b,1009526630jasblf,ord_bab3859cec97,upi,,,false,,
pay_8d7901c503f459,payment,0,102548,104900,1993,359,false,true,2026-03-04T17:45:24+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_88232dac3a23,netbanking,,,false,,
pay_f12d8521f4e5df,payment,0,949900,949900,0,0,true,false,2026-03-04T14:34:26+05:30,,,,ord_e52c4c4b6bab,upi,,,false,dsp_97794549f1cd,
pay_a36df9981c9075,payment,0,218000,218000,0,0,false,true,2026-03-05T15:45:04+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_ceb96b168848,upi,,,false,,
pay_731af659324131,payment,0,41900,41900,0,0,false,true,2026-03-05T20:19:32+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_b7487edd8725,upi,,,false,,
pay_885f346dac4e5f,payment,0,114141,116900,2338,421,false,true,2026-03-05T08:52:54+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_4bf1b4c5505d,card,AMEX,credit,false,,
pay_fb48088e88230b,payment,0,87778,89900,1798,324,false,true,2026-03-05T15:48:56+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_03d9661da0d9,wallet,,,false,,
pay_4bd6f17ba2ecc8,payment,0,320162,327900,6558,1180,false,true,2026-03-05T12:45:32+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_dc7c39e44464,upi,,,false,,
pay_e9de7e1347a379,payment,0,108900,108900,0,0,false,true,2026-03-05T17:25:21+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_0d774744b4c0,upi,,,false,,
pay_4c359c2d429c9f,payment,0,344572,352900,7058,1270,false,true,2026-03-06T00:00:05+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_86a1e182ff5f,card,AMEX,credit,false,,
pay_3e1ed574973ed4,payment,0,47900,47900,0,0,false,true,2026-03-05T14:35:14+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_4464f48c2d5d,upi,,,false,,
pay_ccbe3fc2addafe,payment,0,792000,792000,0,0,false,true,2026-03-05T15:35:20+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_fe4b3427fa07,upi,,,false,,
pay_571558858d3223,payment,0,233900,233900,0,0,false,true,2026-03-05T10:56:18+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_79149e84763a,upi,,,false,,
pay_816d4892b88e2e,payment,0,699900,699900,0,0,false,true,2026-03-05T13:39:30+05:30,2026-03-09T10:00:00+05:30,setl_abdd3220e55eba,7802085733sdjdny,ord_52662d095a8d,upi,,,false,,
pay_2cea03bcb8ac4d,payment,0,969494,979900,8819,1587,false,true,2026-03-06T17:51:21+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_2d37d6561ba9,card,RUPAY,debit,false,,
pay_8ee931ea751d13,payment,0,204703,206900,1862,335,false,true,2026-03-06T17:45:49+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_b2baceb4c82b,card,VISA,debit,false,,
pay_64de31f978f9c8,payment,0,119900,119900,0,0,false,true,2026-03-06T09:14:40+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_0f9a67b3ca04,upi,,,false,,
pay_e72192225f4bc9,payment,0,708900,708900,0,0,false,true,2026-03-06T16:14:25+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_4a82c84ba90e,upi,,,false,,
pay_9d113df89c3879,payment,0,129900,129900,0,0,false,true,2026-03-06T21:50:44+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_8c675df2cc99,upi,,,false,,
pay_96f489a5b2215f,payment,0,66900,66900,0,0,false,true,2026-03-06T07:05:49+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_53c6db121f12,upi,,,false,,
pay_a4fbcad75fb589,payment,0,276900,276900,0,0,false,true,2026-03-06T19:59:18+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_fb599d03e452,upi,,,false,,
pay_9cc88f6c7f87af,payment,0,229900,229900,0,0,false,true,2026-03-06T23:37:36+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_e18a2e39c756,upi,,,false,,
pay_60f4af0e42121f,payment,0,3223000,3223000,0,0,false,true,2026-03-06T21:32:26+05:30,2026-03-13T10:00:00+05:30,setl_8082b2acdbafab,7613134847srhjfa,ord_427bc2cf2283,upi,,,false,,
pay_774cd8e6ddcb88,payment,0,214900,214900,0,0,false,true,2026-03-06T22:20:04+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_4b6d9b73b9cf,upi,,,false,,
pay_6b8df1464baa32,payment,0,241000,241000,0,0,false,true,2026-03-06T23:34:08+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_1673b7ac3c23,upi,,,false,,
pay_ba5786a167afaa,payment,0,169900,169900,0,0,false,true,2026-03-06T21:11:11+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_e050554091c6,upi,,,false,,
pay_46a39e96cec1cf,payment,0,217565,219900,1979,356,false,true,2026-03-07T17:46:01+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_f38b28d6046c,card,VISA,debit,false,,
pay_cfe35c601d1fd4,payment,0,508900,508900,0,0,false,true,2026-03-07T08:05:16+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_b930a2413cce,upi,,,false,,
pay_4c88c2fde069d1,payment,0,151000,151000,0,0,false,true,2026-03-07T10:18:34+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_b01dcc00c443,upi,,,false,,
